Startup,URL,Opportunity Space,Country,Business Description,Year Founded,"Maturity (Existing, Emerging, Distant)",Total funding (US$),RMI Terminology Funding Round
NullSec,www.nullsec.site,"Scoring, Identity & Fraud",Mexico,Empresa de Ciberseguridad con enfoque en el ethical hacking con más de 15 años de experiencia y con un team calificado en practicas de hacking arbitrario y el desarrollo de soluciones en ciberseguridad.,2020,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
PandaPay,www.pandapay.com.br,Enterprise Technology for Financial Institutions,Brazil,Banking as a service with blockchain technology,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Broadfactor,www.broadfactor.com,Business Lending,Brazil,Marketplace for factoring,2011,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Platia.app,https://platia.app/#/,Personal Financial Management,Peru,Digital financial services for rural areas that includes a QR code payment network.,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Pulpo Life,www.pulpo.life,Insurance,El Salvador,Pulpo te da el acceso a Servicios de Salud y Protección que estén a tu alcance.,2020,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
SanaTuDeuda,www.sanatudeuda.com,Personal Financial Management,Peru,Somos la primera plataforma de solución de deudas y re-bancarizacion,2020,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
SAT.ws,https://sat.ws,Enterprise Technology for Financial Institutions,Mexico,Web services for SAT (Servicio de Administración Tributária),2020,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Tekbees,https://www.tekbees.com,"Scoring, Identity & Fraud",Colombia,"Somos una fintech con presencia en Estados Unidos y Colombia, nos hemos posicionado como un proveedor tecnológico estratégico de talla internacional, en soluciones seguras y confiables, medios de pago e identificación de personas, transacciones, automatización de procesos y desarrollo de productos digitales personalizados que permiten tener Omnicanalidad y Multicanalidad.",2013,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Unbanked Pagamentos LTDA,https://www.unbanked.com.br,Digital Banks,Brazil,Desbancarizamos para empoderar,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Vepay,https://vepay.co,Payments & Remittances,Venezuela,Hacemos fácil en el enviar y recibir dinero,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Cannvest,https://cannvest.co,Crowdfunding,Colombia,Crowdfunding soportado en agricultura predictiva,2018,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
"Correnet, SRL",correnet.do,Insurance,Dominican Republic,Cotizador Comparativo On Line de Seguros,2012,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
CRAUDEALA,https://www.craudeala.com,Crowdfunding,Argentina,¿Tenés una idea? CRAUDEALA. La mejor herramienta para potenciar tu emprendimiento productivo con el apoyo colectivo,2019,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
Dapps Blockchain Services,https://www.dapps.pe/,"Scoring, Identity & Fraud",Peru,Entrenamiento y desarrollo de aplicaciones en blockchain,2019,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
edentiav,www.edentiav.com,Enterprise Financial Management,Colombia,Desarrollo de Soluciones tecnológicas formación de fintech,2014,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
EzBeanz,www.ezbeanz.com,Enterprise Technology for Financial Institutions,Mexico,a mobile app helping international students to settle down overseas,2017,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
Exponencial Confirming,www.exponencialconfirming.com,Business Lending,Colombia,"Affirmatum es la plataforma de negociacion de facturas masiva, conectada a 8 entidades financieras con la mejor experiencia transaccional para la SME",2012,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Hybank,www.hybank.biz,Digital Banks,Brazil,"We exist to inspire, empower and develop the micro-entrepreneurs in Brazil.",2019,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
Kitto,Kitto.mx,Crowdfunding,Mexico,Somos unintermediario digital que pone a disposición de inversionistas diversas carteras de crédito de originadores financieros.,2015,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
Massdi,https://www.massdi.net,Payments & Remittances,Peru,"Transferencias interbancarias en S/., mas rápidas y a menor comisión.",2019,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
FIMED,WWW.FIMED.COM.DO,Business Lending,Dominican Republic,SERVICIOS ADM Y FINC PARA EL SECTOR SALUD,2014,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
MERLATA,www.ealcontado.com,Business Lending,Dominican Republic,Financiamiento de Gastos Fijos a las Mipymes por medio a Confirming,2015,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Seguros Facil,www.segurosfacil.com,Insurance,Honduras,"Microseguros para autos utilizando telemática, microseguros para salud",2020,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
WeGo,https://www.wego.pe/,Enterprise Financial Management,Peru,"Sistema de gestión, operación y recaudación para empresas de transporte público.",2020,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
AhorraSeguros,https://ahorraseguros.mx,Insurance,Mexico,Comparador de seguros de autos con más aseguradoras.,2011,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Alegra,https://alegra.com,Enterprise Financial Management,Colombia,"Somos la solución contable, administrativa y de facturación electrónica en la nube creada para Pymes líder en Latinoamérica",2012,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Zigo Capital,www.zigocapital.com,Business Lending,Mexico,"Somos una plataforma que busca apoyar a la economia mexicana, apoyando a las pymes a traves del financiamiento.",2016,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Cacao Paycard,www.cacaopaycard.com,Enterprise Technology for Financial Institutions,Mexico,Card Program Issuing & Processing Enabler,2017,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
COFINANCER,www.cofinancer.co,Business Lending,Colombia,"Plataforma fintech de inclusión financiera, Brinda anticipos de nomina a empleados de las pymes. Adicional compra cartera de obligaciones financieras a menor tasa de interés.",2020,Launched,0,No Funding Received / No Hemos Recibido Fondos
Coinext,coinext.com.br,Trading & Capital Markets,Brazil,"Fastest growing cryptocurrency exchange in Brazil, connecting buyers and sellers through a secure and advanced trading platform.",2017,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
contarte.mx,www.contarte.mx,Enterprise Financial Management,Mexico,cloud accounting and financial collaboration made simple,2012,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Isf Crédito,www.isfcredito.com.br,Business Lending,Brazil,"Fintech da Micro e pequena Empresa, crédito simples, rápido e barato.",2017,Launched,0,No Funding Received / No Hemos Recibido Fondos
MOON MONEY ONLINE,https://www.moonmoneyonline.com,Business Lending,Argentina,"MOON Money Online es una plataforma tecnológica que brinda a micro-negocios, pequeñas y medianas empresas un acceso rápido al financiamiento del capital de trabajo para el desarrollo de sus negocios.",2015,Launched,0,No Funding Received / No Hemos Recibido Fondos
Crol,www.crol.mx,Enterprise Financial Management,Mexico,Crol is a Cloud-based ERP and POS with Artificial Intelligence and Business Intelligence for SMEs.,2014,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
DATIL,DATIL.COM,Enterprise Financial Management,Ecuador,Nuestra misión es construir herramientas financieras digitales para empoderar a las pymes a participar y prosperar en la economía,2011,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Endcom (Conecta Soluciones Tecnológicas),endcom.mx,Enterprise Technology for Financial Institutions,Mexico,"Ayudamos a las organizaciones financieras a cumplir con los requisitos y las necesidades operativas, regulatorias y de seguridad establecidas para el resguardo de la información y las transacciones digitales protegiendo la confianza del cliente en un mundo cada vez más digital.",2011,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
FACTORING LAB,FACTORINGLAC.COM,Business Lending,Peru,Empresa de factoring que realiza cobranza de facturas vencidas y brinda servicios a inversionistas y pymes,2017,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Finsmart,finsmart.pe,Business Lending,Peru,"Somos una Fintech enfocada en ofrecer a empresas liquidez a través de la venta de facturas por cobrar (factoring), a través de inversionistas que buscan alternativas atractivas de rentabilidad.",2018,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Fundary,www.fundary.com,Crowdfunding,Mexico,P2B Innovation technology company that is changing the way we do finance in Mexico.,2016,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
GenioSeguro,genioseguro.com,Insurance,Mexico,Digital insurance broker for SME's,2020,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Gestranbank,https://www.gestran.cl,Enterprise Financial Management,Chile,Big Data e inteligencia transaccional en la nube para bancos,2016,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
iKiwi,https://ikiwi.com.mx,Personal Financial Management,Argentina,Comparador de productos financieros FinTech,2018,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
ISOTRX,http://isotrx.com/,Payments & Remittances,Mexico,"Servicios para emisores de tarjetas de crédito, débito y prepago",2016,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
ISUR,www.isur.com.ar,Enterprise Financial Management,Argentina,Consultoria para el Desarrollo Economico del Territorio Sistemas Integrados de Gestion Tributaria y Financiera para Gobiernos,2012,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
ITERATIVO,WWW.ITERATIVO.DO,Enterprise Financial Management,Dominican Republic,Consulting Firm oriented in offering FinTech solutions,2017,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Kiban,https://www.kiban.mx/es/index.html,Enterprise Technology for Financial Institutions,Mexico,Soluciones fintech en expansión a otros sectores.,2013,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Konkero,www.konkero.com.br,Personal Financial Management,Brazil,We are the #1 financial services comparison and personal finance website in Brazil,2012,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Limen Risk Solutions,www.limenrisk.com,"Scoring, Identity & Fraud",Colombia,"Plataforma de gestión de riesgos financieros (LAFT, SARC, SARO, SARL) en la nube que se interactua con su sistema",2011,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Linq,linq.mx,Enterprise Technology for Financial Institutions,Mexico,"Ofrecemos servicios de administración maestra de activos financieros cedidos a vehículos de propósito específico, supervisando las actividades de los administradores primarios y girando instrucciones a fiduciarios para hacer distribuciones de dinero.",2016,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
MAKERS,www.somosmakers.co,Wealth Management,Colombia,"Makers es una Fintech que ofrece productos de software y servicios de tecnología a las empresas del sector financiero colombiano, enfocados en la administración y gestión de inversiones. Así mismo, Makers desarrolla aplicaciones para las finanzas personales y la inclusión financiera dirigidas a personas.",2017,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Mareigua,https://www.mareigua.co/es/,"Scoring, Identity & Fraud",Colombia,"Mareigua is a Colombian technology company that transformed social security through technology. Now, stemming from the expertise in social security it has created a benchmark for enabling online credit, connecting financial entities with the customer's information (with prior authorization)",2017,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Meep,https://meep.cloud/,Enterprise Financial Management,Brazil,Soluções de pagamentos inteligentes,2017,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Mercados G,www.mercadosg.com,Trading & Capital Markets,Chile,Fintech que da acceso a mercados financiero a través de plataformas tecnológicas,2015,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Size,https://gruposize.com.br/,Business Lending,Brazil,"We offer access to credit for Micro and Small Companies, including those with bad credit record, through Factoring Invoice.",2012,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Namutek Fintech,namutek.com,Enterprise Financial Management,Costa Rica,Nuestro equipo está transformando los medios de pago en Centroamérica,2018,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Nominapp,www.nominapp.com,Enterprise Financial Management,Colombia,El software de nómina en la nube más simple del mundo,2016,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Partner Bank,www.partnerbank.com.br,Digital Banks,Brazil,Simplifying banking services connecting your Partner Bank digital account to your financial management software.,2017,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Poincenot Technology Studio,http://poincenot.com/,Digital Banks,Argentina,Poincenot es un estudio de Tecnología que desarrolla soluciones fintech.,2014,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
REGUM,www.regumcapital.com,Trading & Capital Markets,Uruguay,"Informacion, Formacion y acceso a los mercados financieros, especialistas en inversiones alternativas y productos no regulados.",2016,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
SmarttBot,https://smarttbot.com,Trading & Capital Markets,Brazil,SmarttBot provides algotrading solutions to retail investors with a simple UI and at small cost,2011,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Socialnet,www.socialnet.com.ar,Enterprise Technology for Financial Institutions,Argentina,Desarrollos de Onboarding digital de productos financieros,2015,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Somapay,www.somapay.com.br,Enterprise Financial Management,Brazil,B2B2C financial services platform enabling uncerserved and unbanked to be get a digital account and be hired by companies,2014,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
VANTEK,www.vantek.co,Trading & Capital Markets,Argentina,Plataforma de Trading (OMS) para agentes de Bolsa y Bancos,2017,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
zenziya,https://zenziya.com,Digital Banks,Costa Rica,"Offering online banking services for daily needs, whenever and wherever are needed, paying attention to those small details, the ones to care about",2018,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
S4,www.s4agtech.com,Business Lending,Argentina,Risk management solutions for agriculture,2015,Growth and Expansion,8000,Venture Capital / CVC
77Seg,www.77seg.com.br,Insurance,Brazil,Life insurance in real time,2018,Launched,0,No Funding Received / No Hemos Recibido Fondos
AgenteMotor,www.agentemotor.com,Insurance,Colombia,Le damos súper poderes a intermediarios de seguros,2014,Launched,0,No Funding Received / No Hemos Recibido Fondos
Banco Estudiantil Fintech BE,https://bancoestudiantil.com,Business Lending,Ecuador,"Préstamos inclusivos para estudiantes universitarios, plataforma peer to peer lending, análisis de riesgo en base a redes neuronales (Machine Learning)",2018,Ready to Scale,15000,Pre-Seed
CINCEL,https://www.cincel.digital/,Enterprise Technology for Financial Institutions,Mexico,Cincel is a blockchain platform for signing and securing digital documents,2019,Launched,0,No Funding Received / No Hemos Recibido Fondos
GOIKO SA,www.goiko.com.py,Business Lending,Paraguay,Goiko es una plataforma comparadora de productos financieros intermedia entre usuarios y entidades financieras.,2017,Growth and Expansion,20000,Venture Capital / CVC
ComparaYa,https://comparaya.mx,Personal Financial Management,Mexico,Comparador de productos financieros (tarjetas de crédito y seguros),2019,Launched,0,No Funding Received / No Hemos Recibido Fondos
eCraft,ecraft.com.ar,Trading & Capital Markets,Argentina,Somos una empresa de tecnología especializada en desarrollo de software para el mercado financiero.,2019,Launched,0,No Funding Received / No Hemos Recibido Fondos
Eye Capital,http://eye-capital.com,Trading & Capital Markets,Argentina,"Fintech that develops tools for Algorithmic Trading, Portfolio & Risk Management using Machine Learning and Quantum Computing",2017,Launched,0,No Funding Received / No Hemos Recibido Fondos
FEELSURE,www.feelsure.mx,Insurance,Mexico,Somos una empresa para la contratación de seguros digitales de accidentes personales y de vida,2019,Launched,0,No Funding Received / No Hemos Recibido Fondos
FINANCIAL HUB - Smart Money,FINANCIALHUB.COM.BR,Personal Financial Management,Brazil,"FINANCE HUB - Smart Money, has the purpose of meeting any and all companies regarding their desires in financials services, such as access to credit, receivables advances, câmbio exchange, identification of opportunities to monetize based on their assets.",2019,Launched,0,No Funding Received / No Hemos Recibido Fondos
Flexio,www.holaflexio.com,Payments & Remittances,Mexico,"Help debit card holders pay for health, education and travel services in installments",2020,Launched,0,No Funding Received / No Hemos Recibido Fondos
Hey,www.heybanco.com,Digital Banks,Mexico,Hey Banco es el banco de servicio completo 100% digital que promueve la sustentabilidad financiera de las personas y sus proyectos.,2018,Launched,0,No Funding Received / No Hemos Recibido Fondos
Inder Space,InderSpace.com,Crowdfunding,Mexico,Crowdfounding & Blockchain para crear e invertir en Eventos y espectáculos.,2019,Launched,0,No Funding Received / No Hemos Recibido Fondos
ibylit,www.ibylit.com,Business Lending,Costa Rica,Startup Fintech con servcicios digitales de factoring & invoice lending,2020,Beta Version ready for Commercial Release,25000,Pre-Seed
Kublau,kublau.com,Enterprise Technology for Financial Institutions,Mexico,Tracking Help Center Platform that helps Banks ensure the correct delivery and early activation of Credit/Debit cards.,2018,Launched,0,No Funding Received / No Hemos Recibido Fondos
Mujeres WOW,www.wowmujeres.com,Business Lending,Ecuador,"AI-based lending and credit scoring platform targeting female entrepreneurs. We emphasize the concepts of trust, community and female empowerment to the delivery of financial services.",2019,Demo/Prototype,50000,Pre-Seed
Mapa Financiero,www.mapafinanciero.pe,Personal Financial Management,Peru,Mapa Financiero es una plataforma comparativa y de descuentos de todas las fintech de Perú,2017,Launched,0,No Funding Received / No Hemos Recibido Fondos
Pretmex,www.pretmex.com,Business Lending,Mexico,Online business lending and leasing,2007,Growth and Expansion,50000,Venture Capital / CVC
MinerBA,www.minerba.tech,Enterprise Financial Management,Ecuador,"MinerBA ayuda a las empresas a mejorar la productividad y eficiencia operacional mediante modelos estadísticos avanzados e inteligencia artificial, generando información actualizada y con contexto histórico para la toma de decisiones.",2018,Launched,0,No Funding Received / No Hemos Recibido Fondos
Flow Finance,Flowfinance.com.br,Business Lending,Brazil,We provide APIs that turns any company into a lending fintech.,2019,Beta Version ready for Commercial Release,70000,Pre-Seed
NetM,https://www.netmred.com,Payments & Remittances,Colombia,Global transactional network and platform,2016,Launched,0,No Funding Received / No Hemos Recibido Fondos
INNOVA FUNDING SAC,https://webapp.innova-funding.com/,Business Lending,Peru,"Innova-Funding.com es una plataforma para encontrar financiación mediante la factura negociable,100% digital, en la nube; dónde facilitamos al empresario la posibilidad de obtener financiamiento para sus facturas por cobrar a través del factoring: sin papeleos, rápido y con precio justo. Al ser una solución digital, el alcance de la operación es a nivel nacional.",2015,Growth and Expansion,75000,Seed
PuntoDoc,www.puntodoc.ec,Enterprise Financial Management,Ecuador,La solución más amigable para emisión de facturas electrónicas en Ecuador,2017,Launched,0,No Funding Received / No Hemos Recibido Fondos
Reset,www.reset.do,Digital Banks,Dominican Republic,Primera cuenta bancaria 100% digital de República Dominicana. Reset es un producto de Banco Fihogar que opera como un startup de banco digital dentro del banco. Se realizará un spinoff tan pronto la regulación lo permita.,2018,Launched,0,No Funding Received / No Hemos Recibido Fondos
Sube Latinoamérica,www.sube.la,Payments & Remittances,Honduras,Pasarela de Pagos y soluciones de comercio electrónico para MIPYMEs en Latam,2017,Launched,0,No Funding Received / No Hemos Recibido Fondos
FINV.mx Group,www.finv.mx,Business Lending,Mexico,Sustainable Supply Chain Finance,2016,Ready to Scale,100000,Venture Capital / CVC
Acendes,https://www.acendes.com/,Digital Banks,Mexico,"Acendes es la plataforma móvil para entidades financieras. Digitalizamos, automatizamos y simplificamos mediante la tecnología la gestión de procesos a través de una solución móvil.",2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
App-Credit de Grupo Nueva Economía,https://app-credit.com/,Enterprise Technology for Financial Institutions,Bolivia,App-Credit es un conjunto integral accesible de canales digitales que vincula la oferta y demanda de acceso a crédito y de capacitación y / o asesoramiento en la gestión de un negocio.,2018,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Atos Capital,https://www.atoscapital.com.br,Enterprise Financial Management,Brazil,"ATOS CAPITAL defines itself as a Management and Business Consulting company with great expertise in the industrial and retail markets, operating in large and medium-sized companies. Through its executives with solid market experience, investment in innovative technologies strategically developed and major market players as business partners, we add value and ensure results for our customers. With a set of processes and measures that are implemented at high levels of Management and SLA, we have established a commitment to ROI, which becomes the main agent that generates trust and support for our company with the market.",2015,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Bancoin,https://www.bancoin.com.br/,Enterprise Financial Management,Brazil,Social and financial inclusion for everyone!,2017,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
QuantumX,www.quantum-x.io,Business Lending,Chile,"QuantumX is a lending platform that connects corporates and SMEs with lenders/investors. The Platform streamlines and automates the lending process, enabling efficient automation for the issuance, custody and life-cycle of debt instruments (i.e. bonds, syndicated loans, structured notes and debt for real estate assets). The platform can be easily and securely interconnected with legacy systems, complying with current laws and regulatory systems.",2018,Beta Version ready for Commercial Release,120000,Pre-Seed
Gulungo,www.gulungo.com,Business Lending,Colombia,"Lending to SME´s that fall under ""Un"" Unbanked and Underserved",2018,Ready to Scale,178000,Pre-Seed
INFOMETRIX,www.infometrix.co,Business Lending,Colombia,"INFOMETRIX ofrece a sus clientes soluciones analíticas avanzadas como servicio de forma rápida, en cloud y sin necesidad de grandes inversiones iniciales.",2016,Beta Version ready for Commercial Release,200000,Venture Capital / CVC
CAMBISTA ONLINE,cambista.online,Trading & Capital Markets,Peru,Marketplace platform to exchange currencies through banktransfers,2017,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Capital Empreendedor,www.capitalempreendedor.com.br,Enterprise Financial Management,Brazil,A Capital Empreendedor tem como objetivo apresentar aos pequenos e médios empresários alternativas de crédito que se adequem ao seu negócio,2017,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
CapTable,www.captable.com.br,Crowdfunding,Brazil,Equity Crowdfunding de Startups,2018,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Catarse,www.catarse.me,Crowdfunding,Brazil,A crowdfunding platform for creative and social projects,2011,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
CoinBene do Brasil,www.coinbene.com.br,Payments & Remittances,Brazil,Crypto and Payment Services,2018,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
